	i3e_f_eu
1999-12-31	108.9
2000-01-03	109.4
2000-01-04	112.1
2000-01-05	111.2
2000-01-06	109.2
2000-01-07	107.9
2000-01-10	107.5
2000-01-11	107.1
2000-01-12	107.2
2000-01-13	105.5
2000-01-14	105.0
2000-01-17	106.7
2000-01-18	107.1
2000-01-19	107.0
2000-01-20	106.3
2000-01-21	106.2
2000-01-24	107.4
2000-01-25	106.9
2000-01-26	106.3
2000-01-27	107.3
2000-01-28	106.7
2000-01-31	111.8
2000-02-01	111.3
2000-02-02	111.8
2000-02-03	111.1
2000-02-04	110.7
2000-02-07	111.0
2000-02-08	110.7
2000-02-09	112.1
2000-02-10	110.9
2000-02-11	108.6
2000-02-14	109.6
2000-02-15	109.4
2000-02-16	109.6
2000-02-17	109.8
2000-02-18	108.6
2000-02-21	108.4
2000-02-22	110.4
2000-02-23	109.1
2000-02-24	109.5
2000-02-25	111.0
2000-02-28	117.4
2000-02-29	117.0
2000-03-01	116.0
2000-03-02	116.4
2000-03-03	116.0
2000-03-06	116.4
2000-03-07	116.5
2000-03-08	116.6
2000-03-09	115.5
2000-03-10	114.6
2000-03-13	114.8
2000-03-14	114.1
2000-03-15	113.9
2000-03-16	114.1
2000-03-17	112.3
2000-03-20	112.7
2000-03-21	111.2
2000-03-22	111.7
2000-03-23	110.0
2000-03-24	109.4
2000-03-27	110.6
2000-03-28	109.8
2000-03-29	111.5
2000-03-30	110.6
2000-03-31	111.5
2000-04-03	110.8
2000-04-04	110.3
2000-04-05	113.5
2000-04-06	111.0
2000-04-07	109.9
2000-04-10	109.7
2000-04-11	110.5
2000-04-12	110.6
2000-04-13	110.5
2000-04-14	110.4
2000-04-17	112.0
2000-04-18	111.6
2000-04-19	111.8
2000-04-20	112.1
2000-04-21	111.7
2000-04-24	111.9
2000-04-25	113.4
2000-04-26	113.4
2000-04-27	114.7
2000-04-28	113.9
2000-05-01	113.9
2000-05-02	113.4
2000-05-03	115.6
2000-05-04	116.4
2000-05-05	117.0
2000-05-08	116.2
2000-05-09	115.4
2000-05-10	116.6
2000-05-11	115.1
2000-05-12	114.9
2000-05-15	115.0
2000-05-16	114.6
2000-05-17	114.7
2000-05-18	113.3
2000-05-19	113.8
2000-05-22	114.7
2000-05-23	115.0
2000-05-24	115.3
2000-05-25	114.1
2000-05-26	116.4
2000-05-29	116.3
2000-05-30	115.9
2000-05-31	114.7
2000-06-01	114.4
2000-06-02	115.4
2000-06-05	113.9
2000-06-06	115.0
2000-06-07	115.0
2000-06-08	114.3
2000-06-09	113.5
2000-06-12	114.2
2000-06-13	113.8
2000-06-14	112.7
2000-06-15	110.7
2000-06-16	109.8
2000-06-19	110.1
2000-06-20	110.0
2000-06-21	110.3
2000-06-22	110.3
2000-06-23	110.5
2000-06-26	111.8
2000-06-27	111.2
2000-06-28	109.8
2000-06-29	109.8
2000-06-30	108.7
2000-07-03	108.5
2000-07-04	107.9
2000-07-05	108.6
2000-07-06	107.9
2000-07-07	107.0
2000-07-10	106.0
2000-07-11	105.9
2000-07-12	107.3
2000-07-13	107.5
2000-07-14	106.7
2000-07-17	106.6
2000-07-18	105.3
2000-07-19	108.6
2000-07-20	107.8
2000-07-21	106.3
2000-07-24	106.3
2000-07-25	107.0
2000-07-26	107.0
2000-07-27	105.7
2000-07-28	106.4
2000-07-31	106.7
2000-08-01	106.2
2000-08-02	109.4
2000-08-03	111.0
2000-08-04	110.0
2000-08-07	109.9
2000-08-08	110.1
2000-08-09	111.6
2000-08-10	109.4
2000-08-11	108.5
2000-08-14	109.0
2000-08-15	108.5
2000-08-16	107.8
2000-08-17	107.1
2000-08-18	106.9
2000-08-21	107.8
2000-08-22	108.9
2000-08-23	110.1
2000-08-24	108.2
2000-08-25	107.7
2000-08-28	108.3
2000-08-29	109.8
2000-08-30	110.9
2000-08-31	110.6
2000-09-01	109.4
2000-09-04	109.8
2000-09-05	112.2
2000-09-06	114.5
2000-09-07	115.5
2000-09-08	115.8
2000-09-11	117.6
2000-09-12	116.8
2000-09-13	115.5
2000-09-14	115.1
2000-09-15	114.5
2000-09-18	116.6
2000-09-19	116.7
2000-09-20	117.6
2000-09-21	116.8
2000-09-22	119.4
2000-09-25	116.9
2000-09-26	117.9
2000-09-27	117.3
2000-09-28	116.8
2000-09-29	113.3
2000-10-02	111.8
2000-10-03	112.1
2000-10-04	111.9
2000-10-05	110.9
2000-10-06	110.3
2000-10-09	110.4
2000-10-10	110.9
2000-10-11	111.3
2000-10-12	113.0
2000-10-13	113.4
2000-10-16	115.5
2000-10-17	116.3
2000-10-18	119.3
2000-10-19	119.6
2000-10-20	117.7
2000-10-23	118.4
2000-10-24	118.0
2000-10-25	119.3
2000-10-26	119.6
2000-10-27	119.8
2000-10-30	119.3
2000-10-31	118.3
2000-11-01	118.8
2000-11-02	117.4
2000-11-03	117.7
2000-11-06	118.3
2000-11-07	118.2
2000-11-08	118.2
2000-11-09	117.3
2000-11-10	117.0
2000-11-13	116.7
2000-11-14	116.5
2000-11-15	115.3
2000-11-16	113.1
2000-11-17	112.7
2000-11-20	113.5
2000-11-21	114.5
2000-11-22	114.4
2000-11-23	114.4
2000-11-24	114.6
2000-11-27	114.0
2000-11-28	114.3
2000-11-29	113.6
2000-11-30	113.8
2000-12-01	113.4
2000-12-04	114.6
2000-12-05	113.2
2000-12-06	112.6
2000-12-07	113.2
2000-12-08	112.9
2000-12-11	113.6
2000-12-12	114.0
2000-12-13	113.9
2000-12-14	112.7
2000-12-15	113.8
2000-12-18	113.5
2000-12-19	113.0
2000-12-20	114.1
2000-12-21	115.4
2000-12-22	115.8
2000-12-25	115.9
2000-12-26	115.9
2000-12-27	116.3
2000-12-28	114.4
2000-12-29	114.3
2001-01-01	114.3
2001-01-02	116.5
2001-01-03	116.3
2001-01-04	116.1
2001-01-05	115.9
2001-01-08	115.8
2001-01-09	113.9
2001-01-10	113.4
2001-01-11	113.9
2001-01-12	113.1
2001-01-15	113.8
2001-01-16	112.7
2001-01-17	113.4
2001-01-18	112.5
2001-01-19	111.8
2001-01-22	113.4
2001-01-23	113.5
2001-01-24	113.6
2001-01-25	114.0
2001-01-26	113.2
2001-01-29	113.3
2001-01-30	113.3
2001-01-31	113.9
2001-02-01	114.0
2001-02-02	113.0
2001-02-05	112.6
2001-02-06	111.2
2001-02-07	110.4
2001-02-08	111.5
2001-02-09	111.1
2001-02-12	110.9
2001-02-13	110.7
2001-02-14	111.1
2001-02-15	113.2
2001-02-16	112.5
2001-02-19	112.1
2001-02-20	112.7
2001-02-21	113.3
2001-02-22	114.6
2001-02-23	113.1
2001-02-26	113.8
2001-02-27	113.3
2001-02-28	113.1
2001-03-01	112.4
2001-03-02	112.2
2001-03-05	111.7
2001-03-06	110.9
2001-03-07	110.5
2001-03-08	110.7
2001-03-09	110.0
2001-03-12	110.0
2001-03-13	111.0
2001-03-14	111.6
2001-03-15	111.8
2001-03-16	112.3
2001-03-19	112.1
2001-03-20	111.5
2001-03-21	111.5
2001-03-22	113.1
2001-03-23	111.6
2001-03-26	111.7
2001-03-27	111.3
2001-03-28	111.8
2001-03-29	112.5
2001-03-30	111.5
2001-04-02	112.0
2001-04-03	112.2
2001-04-04	112.9
2001-04-05	111.5
2001-04-06	111.3
2001-04-09	111.2
2001-04-10	111.3
2001-04-11	110.7
2001-04-12	109.4
2001-04-13	108.9
2001-04-16	110.6
2001-04-17	111.7
2001-04-18	112.3
2001-04-19	111.2
2001-04-20	112.2
2001-04-23	112.5
2001-04-24	112.6
2001-04-25	112.7
2001-04-26	111.1
2001-04-27	110.7
2001-04-30	110.7
2001-05-01	110.1
2001-05-02	109.3
2001-05-03	109.1
2001-05-04	108.7
2001-05-07	109.0
2001-05-08	109.5
2001-05-09	109.4
2001-05-10	108.9
2001-05-11	107.7
2001-05-14	108.1
2001-05-15	108.1
2001-05-16	107.7
2001-05-17	105.0
2001-05-18	103.7
2001-05-21	103.8
2001-05-22	105.2
2001-05-23	108.3
2001-05-24	108.2
2001-05-25	106.3
2001-05-28	107.5
2001-05-29	108.5
2001-05-30	108.1
2001-05-31	109.0
2001-06-01	109.3
2001-06-04	109.0
2001-06-05	109.9
2001-06-06	109.9
2001-06-07	108.9
2001-06-08	107.6
2001-06-11	107.8
2001-06-12	107.9
2001-06-13	108.2
2001-06-14	107.3
2001-06-15	107.0
2001-06-18	106.7
2001-06-19	106.3
2001-06-20	106.3
2001-06-21	105.1
2001-06-22	104.1
2001-06-25	104.4
2001-06-26	104.5
2001-06-27	104.4
2001-06-28	105.3
2001-06-29	104.0
2001-07-02	104.6
2001-07-03	104.1
2001-07-04	104.4
2001-07-05	106.2
2001-07-06	106.6
2001-07-09	106.7
2001-07-10	107.0
2001-07-11	108.1
2001-07-12	107.3
2001-07-13	106.7
2001-07-16	107.0
2001-07-17	107.0
2001-07-18	109.6
2001-07-19	109.3
2001-07-20	109.1
2001-07-23	108.3
2001-07-24	109.1
2001-07-25	110.1
2001-07-26	108.9
2001-07-27	108.1
2001-07-30	107.8
2001-07-31	107.0
2001-08-01	108.6
2001-08-02	107.3
2001-08-03	106.4
2001-08-06	106.7
2001-08-07	105.9
2001-08-08	104.7
2001-08-09	107.5
2001-08-10	107.3
2001-08-13	109.1
2001-08-14	109.0
2001-08-15	111.2
2001-08-16	109.8
2001-08-17	108.9
2001-08-20	109.1
2001-08-21	108.6
2001-08-22	109.3
2001-08-23	107.3
2001-08-24	106.6
2001-08-27	107.0
2001-08-28	106.6
2001-08-29	106.7
2001-08-30	107.0
2001-08-31	106.2
2001-09-03	106.9
2001-09-04	108.5
2001-09-05	107.8
2001-09-06	106.7
2001-09-07	107.7
2001-09-10	108.5
2001-09-11	115.8
2001-09-12	113.2
2001-09-13	112.1
2001-09-14	115.4
2001-09-17	115.4
2001-09-18	114.6
2001-09-19	114.5
2001-09-20	112.8
2001-09-21	113.5
2001-09-24	112.9
2001-09-25	112.4
2001-09-26	110.1
2001-09-27	108.9
2001-09-28	108.3
2001-10-01	108.7
2001-10-02	109.0
2001-10-03	109.1
2001-10-04	108.6
2001-10-05	107.8
2001-10-08	109.9
2001-10-09	108.1
2001-10-10	107.0
2001-10-11	106.2
2001-10-12	106.9
2001-10-15	106.7
2001-10-16	106.4
2001-10-17	106.5
2001-10-18	106.0
2001-10-19	104.9
2001-10-22	105.9
2001-10-23	106.0
2001-10-24	105.0
2001-10-25	104.6
2001-10-26	103.5
2001-10-29	104.9
2001-10-30	105.7
2001-10-31	105.5
2001-11-01	104.9
2001-11-02	104.7
2001-11-05	104.6
2001-11-06	104.7
2001-11-07	104.9
2001-11-08	104.4
2001-11-09	103.8
2001-11-12	105.9
2001-11-13	105.6
2001-11-14	105.5
2001-11-15	104.7
2001-11-16	104.0
2001-11-19	104.7
2001-11-20	104.0
2001-11-21	103.7
2001-11-22	103.9
2001-11-23	104.3
2001-11-26	102.9
2001-11-27	104.0
2001-11-28	103.8
2001-11-29	102.7
2001-11-30	104.0
2001-12-03	103.7
2001-12-04	102.4
2001-12-05	101.5
2001-12-06	100.6
2001-12-07	99.6
2001-12-10	99.8
2001-12-11	99.6
2001-12-12	100.9
2001-12-13	99.9
2001-12-14	101.6
2001-12-17	101.8
2001-12-18	100.9
2001-12-19	100.4
2001-12-20	99.8
