	i3e_f_usa
1999-12-31	108.0
2000-01-03	108.5
2000-01-04	110.9
2000-01-05	110.2
2000-01-06	108.3
2000-01-07	107.1
2000-01-10	106.8
2000-01-11	106.5
2000-01-12	106.5
2000-01-13	104.9
2000-01-14	104.5
2000-01-17	106.1
2000-01-18	106.4
2000-01-19	106.3
2000-01-20	105.7
2000-01-21	105.6
2000-01-24	106.7
2000-01-25	106.3
2000-01-26	105.7
2000-01-27	106.6
2000-01-28	106.1
2000-01-31	110.7
2000-02-01	110.3
2000-02-02	110.7
2000-02-03	110.0
2000-02-04	109.7
2000-02-07	109.9
2000-02-08	109.7
2000-02-09	110.9
2000-02-10	109.8
2000-02-11	107.8
2000-02-14	108.7
2000-02-15	108.5
2000-02-16	108.7
2000-02-17	108.9
2000-02-18	107.8
2000-02-21	107.6
2000-02-22	109.4
2000-02-23	108.2
2000-02-24	108.6
2000-02-25	109.9
2000-02-28	115.7
2000-02-29	115.4
2000-03-01	114.4
2000-03-02	114.8
2000-03-03	114.4
2000-03-06	114.8
2000-03-07	114.9
2000-03-08	115.0
2000-03-09	114.0
2000-03-10	113.2
2000-03-13	113.4
2000-03-14	112.8
2000-03-15	112.6
2000-03-16	112.7
2000-03-17	111.1
2000-03-20	111.5
2000-03-21	110.1
2000-03-22	110.6
2000-03-23	109.1
2000-03-24	108.5
2000-03-27	109.6
2000-03-28	108.8
2000-03-29	110.4
2000-03-30	109.6
2000-03-31	110.4
2000-04-03	109.8
2000-04-04	109.3
2000-04-05	112.2
2000-04-06	109.9
2000-04-07	109.0
2000-04-10	108.8
2000-04-11	109.5
2000-04-12	109.6
2000-04-13	109.5
2000-04-14	109.4
2000-04-17	110.8
2000-04-18	110.5
2000-04-19	110.6
2000-04-20	111.0
2000-04-21	110.6
2000-04-24	110.8
2000-04-25	112.1
2000-04-26	112.1
2000-04-27	113.3
2000-04-28	112.5
2000-05-01	112.5
2000-05-02	112.1
2000-05-03	114.1
2000-05-04	114.8
2000-05-05	115.4
2000-05-08	114.6
2000-05-09	113.9
2000-05-10	115.0
2000-05-11	113.7
2000-05-12	113.5
2000-05-15	113.6
2000-05-16	113.2
2000-05-17	113.3
2000-05-18	112.0
2000-05-19	112.4
2000-05-22	113.3
2000-05-23	113.6
2000-05-24	113.8
2000-05-25	112.7
2000-05-26	114.8
2000-05-29	114.7
2000-05-30	114.4
2000-05-31	113.3
2000-06-01	113.0
2000-06-02	113.9
2000-06-05	112.5
2000-06-06	113.6
2000-06-07	113.6
2000-06-08	112.9
2000-06-09	112.2
2000-06-12	112.8
2000-06-13	112.4
2000-06-14	111.5
2000-06-15	109.7
2000-06-16	108.8
2000-06-19	109.2
2000-06-20	109.1
2000-06-21	109.3
2000-06-22	109.3
2000-06-23	109.5
2000-06-26	110.6
2000-06-27	110.2
2000-06-28	108.8
2000-06-29	108.8
2000-06-30	107.9
2000-07-03	107.7
2000-07-04	107.2
2000-07-05	107.8
2000-07-06	107.2
2000-07-07	106.3
2000-07-10	105.4
2000-07-11	105.3
2000-07-12	106.6
2000-07-13	106.8
2000-07-14	106.1
2000-07-17	106.0
2000-07-18	104.8
2000-07-19	107.8
2000-07-20	107.1
2000-07-21	105.7
2000-07-24	105.7
2000-07-25	106.3
2000-07-26	106.3
2000-07-27	105.2
2000-07-28	105.8
2000-07-31	106.1
2000-08-01	105.6
2000-08-02	108.5
2000-08-03	109.9
2000-08-04	109.1
2000-08-07	108.9
2000-08-08	107.2
2000-08-09	109.1
2000-08-10	107.1
2000-08-11	106.8
2000-08-14	107.2
2000-08-15	106.2
2000-08-16	107.1
2000-08-17	106.5
2000-08-18	106.2
2000-08-21	107.1
2000-08-22	108.0
2000-08-23	105.7
2000-08-24	103.4
2000-08-25	103.0
2000-08-28	101.9
2000-08-29	103.2
2000-08-30	103.9
2000-08-31	107.2
2000-09-01	105.0
2000-09-04	105.4
2000-09-05	108.6
2000-09-06	111.5
2000-09-07	112.1
2000-09-08	112.8
2000-09-11	114.0
2000-09-12	112.2
2000-09-13	112.1
