	global_weighted
1990-01-01	82.2
1990-01-02	85.4
1990-01-03	85.6
1990-01-04	91.0
1990-01-05	90.6
1990-01-08	90.6
1990-01-09	90.8
1990-01-10	90.1
1990-01-11	89.3
1990-01-12	91.2
1990-01-15	91.4
1990-01-16	92.6
1990-01-17	91.9
1990-01-18	93.8
1990-01-19	93.3
1990-01-22	95.4
1990-01-23	97.2
1990-01-24	97.2
1990-01-25	96.9
1990-01-26	96.1
1990-01-29	96.2
1990-01-30	95.3
1990-01-31	95.8
1990-02-01	94.8
1990-02-02	94.5
1990-02-05	95.1
1990-02-06	94.6
1990-02-07	94.2
1990-02-08	94.6
1990-02-09	95.5
1990-02-12	96.8
1990-02-13	96.1
1990-02-14	95.1
1990-02-15	94.8
1990-02-16	93.8
1990-02-19	93.3
1990-02-20	94.9
1990-02-21	95.4
1990-02-22	94.8
1990-02-23	94.7
1990-02-26	96.1
1990-02-27	95.5
1990-02-28	95.5
1990-03-01	96.9
1990-03-02	96.4
1990-03-05	96.9
1990-03-06	96.4
1990-03-07	95.5
1990-03-08	95.0
1990-03-09	94.4
1990-03-12	93.7
1990-03-13	93.1
1990-03-14	92.4
1990-03-15	92.7
1990-03-16	92.4
1990-03-19	92.8
1990-03-20	93.1
1990-03-21	93.2
1990-03-22	93.6
1990-03-23	92.8
1990-03-26	92.6
1990-03-27	92.6
1990-03-28	91.4
1990-03-29	91.6
1990-03-30	92.0
1990-04-02	93.5
1990-04-03	93.7
1990-04-04	93.2
1990-04-05	92.2
1990-04-06	91.7
1990-04-09	91.0
1990-04-10	90.0
1990-04-11	90.8
1990-04-12	89.8
1990-04-13	88.5
1990-04-16	87.6
1990-04-17	87.1
1990-04-18	87.2
1990-04-19	87.6
1990-04-20	88.1
1990-04-23	88.9
1990-04-24	88.4
1990-04-25	89.0
1990-04-26	88.3
1990-04-27	88.1
1990-04-30	87.3
1990-05-01	86.5
1990-05-02	86.0
1990-05-03	85.2
1990-05-04	87.9
1990-05-07	87.3
1990-05-08	87.7
1990-05-09	89.5
1990-05-10	88.5
1990-05-11	92.1
1990-05-14	92.6
1990-05-15	91.6
1990-05-16	90.7
1990-05-17	90.2
1990-05-18	89.2
1990-05-21	90.1
1990-05-22	89.8
1990-05-23	89.1
1990-05-24	88.4
1990-05-25	88.0
1990-05-28	86.7
1990-05-29	87.7
1990-05-30	87.6
1990-05-31	89.4
1990-06-01	90.0
1990-06-04	89.3
1990-06-05	88.2
1990-06-06	87.5
1990-06-07	86.9
1990-06-08	87.0
1990-06-11	86.6
1990-06-12	86.3
1990-06-13	85.6
1990-06-14	84.7
1990-06-15	84.0
1990-06-18	88.1
1990-06-19	87.4
1990-06-20	86.7
1990-06-21	85.7
1990-06-22	85.7
1990-06-25	85.5
1990-06-26	84.8
1990-06-27	85.0
1990-06-28	84.5
1990-06-29	83.7
1990-07-02	83.8
1990-07-03	83.6
1990-07-04	82.8
1990-07-05	82.7
1990-07-06	82.8
1990-07-09	82.3
1990-07-10	82.2
1990-07-11	80.9
1990-07-12	80.8
1990-07-13	83.6
1990-07-16	84.2
1990-07-17	84.0
1990-07-18	83.8
1990-07-19	82.6
1990-07-20	82.0
1990-07-23	84.6
1990-07-24	84.4
1990-07-25	83.5
1990-07-26	82.9
1990-07-27	83.6
1990-07-30	83.2
1990-07-31	86.8
1990-08-01	86.2
1990-08-02	87.4
1990-08-03	89.2
1990-08-06	97.3
1990-08-07	96.8
1990-08-08	97.7
1990-08-09	96.9
1990-08-10	96.2
1990-08-13	97.7
1990-08-14	97.1
1990-08-15	96.5
1990-08-16	97.4
1990-08-17	98.3
1990-08-20	98.0
1990-08-21	98.2
1990-08-22	98.3
1990-08-23	100.4
1990-08-24	100.1
1990-08-27	102.4
1990-08-28	102.3
1990-08-29	101.9
1990-08-30	102.3
1990-08-31	102.6
1990-09-03	102.4
1990-09-04	101.3
1990-09-05	103.4
1990-09-06	102.7
1990-09-07	101.9
1990-09-10	102.9
1990-09-11	102.5
1990-09-12	101.6
1990-09-13	101.9
1990-09-14	102.1
1990-09-17	101.2
1990-09-18	100.8
1990-09-19	102.0
1990-09-20	102.0
1990-09-21	101.3
1990-09-24	103.3
1990-09-25	102.8
1990-09-26	102.2
1990-09-27	102.0
1990-09-28	101.8
1990-10-01	103.7
1990-10-02	103.5
1990-10-03	103.4
1990-10-04	103.1
1990-10-05	103.3
1990-10-08	103.1
1990-10-09	104.8
1990-10-10	104.5
1990-10-11	103.9
1990-10-12	104.9
1990-10-15	104.8
1990-10-16	104.5
1990-10-17	103.9
1990-10-18	103.5
1990-10-19	103.4
1990-10-22	103.2
1990-10-23	102.5
1990-10-24	102.8
1990-10-25	102.0
1990-10-26	101.5
1990-10-29	100.6
1990-10-30	99.5
1990-10-31	98.8
1990-11-01	98.7
1990-11-02	98.2
1990-11-05	99.6
1990-11-06	98.7
1990-11-07	98.4
1990-11-08	97.9
1990-11-09	97.9
1990-11-12	98.0
1990-11-13	97.1
1990-11-14	96.4
1990-11-15	95.5
1990-11-16	95.2
1990-11-19	94.4
1990-11-20	93.9
1990-11-21	93.5
1990-11-22	92.4
1990-11-23	91.8
1990-11-26	91.4
1990-11-27	91.8
1990-11-28	91.0
1990-11-29	91.7
1990-11-30	92.3
1990-12-03	94.0
1990-12-04	94.0
1990-12-05	93.2
1990-12-06	93.5
1990-12-07	95.4
1990-12-10	94.8
1990-12-11	94.2
1990-12-12	93.3
1990-12-13	92.6
1990-12-14	92.1
1990-12-17	91.5
1990-12-18	91.5
1990-12-19	91.4
1990-12-20	95.0
1990-12-21	99.3
1990-12-24	98.9
1990-12-25	97.7
1990-12-26	96.6
1990-12-27	95.9
1990-12-28	100.0
1990-12-31	98.9
1991-01-01	97.5
1991-01-02	98.2
1991-01-03	98.1
1991-01-04	98.4
1991-01-07	102.5
1991-01-08	101.6
1991-01-09	103.0
1991-01-10	104.5
1991-01-11	103.3
1991-01-14	103.4
1991-01-15	102.5
1991-01-16	101.8
1991-01-17	112.2
1991-01-18	111.8
1991-01-21	111.1
1991-01-22	109.9
1991-01-23	108.8
1991-01-24	108.5
1991-01-25	107.5
1991-01-28	106.3
1991-01-29	105.0
1991-01-30	107.9
1991-01-31	107.2
1991-02-01	106.9
1991-02-04	106.3
1991-02-05	105.6
1991-02-06	105.8
1991-02-07	104.7
1991-02-08	103.9
1991-02-11	104.3
1991-02-12	103.6
1991-02-13	102.4
1991-02-14	102.1
1991-02-15	101.5
1991-02-18	101.2
1991-02-19	100.3
1991-02-20	99.4
1991-02-21	98.3
1991-02-22	98.5
1991-02-25	100.0
1991-02-26	99.5
1991-02-27	98.6
1991-02-28	97.9
1991-03-01	98.1
1991-03-04	97.1
1991-03-05	97.2
1991-03-06	96.7
1991-03-07	95.8
1991-03-08	96.3
1991-03-11	97.0
1991-03-12	96.4
1991-03-13	96.6
1991-03-14	95.6
1991-03-15	97.4
1991-03-18	100.6
1991-03-19	102.1
1991-03-20	101.5
1991-03-21	100.9
1991-03-22	99.9
1991-03-25	100.5
1991-03-26	100.9
1991-03-27	100.5
1991-03-28	99.3
1991-03-29	97.8
1991-04-01	97.1
1991-04-02	99.0
1991-04-03	98.8
1991-04-04	97.8
1991-04-05	96.9
1991-04-08	96.3
1991-04-09	96.8
1991-04-10	96.2
1991-04-11	95.7
1991-04-12	95.4
1991-04-15	94.7
1991-04-16	94.4
1991-04-17	93.5
1991-04-18	93.4
1991-04-19	98.7
1991-04-22	99.9
1991-04-23	99.9
1991-04-24	99.2
1991-04-25	98.1
1991-04-26	96.9
1991-04-29	97.1
1991-04-30	100.4
1991-05-01	100.1
1991-05-02	99.9
1991-05-03	100.1
1991-05-06	98.9
1991-05-07	98.9
1991-05-08	98.0
1991-05-09	97.6
1991-05-10	98.6
1991-05-13	98.2
1991-05-14	98.3
1991-05-15	97.5
1991-05-16	96.7
1991-05-17	97.9
1991-05-20	97.0
1991-05-21	96.8
1991-05-22	96.0
1991-05-23	95.1
1991-05-24	94.2
1991-05-27	92.9
1991-05-28	92.7
1991-05-29	91.9
1991-05-30	91.7
1991-05-31	92.0
1991-06-03	91.5
1991-06-04	90.6
1991-06-05	90.3
1991-06-06	89.5
1991-06-07	90.2
1991-06-10	89.3
1991-06-11	88.8
1991-06-12	89.8
1991-06-13	88.9
1991-06-14	88.6
1991-06-17	87.9
1991-06-18	88.0
1991-06-19	89.1
1991-06-20	88.3
1991-06-21	87.5
1991-06-24	88.7
1991-06-25	88.0
1991-06-26	87.4
1991-06-27	87.0
1991-06-28	88.2
1991-07-01	89.1
1991-07-02	88.6
1991-07-03	88.4
1991-07-04	87.4
1991-07-05	87.5
1991-07-08	87.8
1991-07-09	86.8
1991-07-10	85.9
1991-07-11	85.6
1991-07-12	89.7
1991-07-15	88.3
1991-07-16	87.5
1991-07-17	86.5
1991-07-18	87.5
1991-07-19	87.5
1991-07-22	86.9
1991-07-23	86.4
1991-07-24	87.1
1991-07-25	87.2
1991-07-26	86.7
1991-07-29	86.4
1991-07-30	85.8
1991-07-31	85.0
1991-08-01	84.5
1991-08-02	86.3
1991-08-05	86.4
1991-08-06	87.1
1991-08-07	86.1
1991-08-08	85.6
1991-08-09	84.7
1991-08-12	83.0
1991-08-13	83.3
1991-08-14	83.6
1991-08-15	82.5
1991-08-16	84.2
1991-08-19	99.3
1991-08-20	99.1
1991-08-21	104.9
1991-08-22	104.7
1991-08-23	105.3
1991-08-26	104.3
1991-08-27	103.2
1991-08-28	102.9
1991-08-29	102.4
1991-08-30	101.7
1991-09-02	100.6
1991-09-03	99.7
1991-09-04	98.5
1991-09-05	97.3
1991-09-06	96.8
1991-09-09	98.4
1991-09-10	97.5
1991-09-11	96.1
1991-09-12	96.2
1991-09-13	95.5
1991-09-16	94.6
1991-09-17	93.3
1991-09-18	92.4
1991-09-19	91.2
1991-09-20	90.0
1991-09-23	89.9
1991-09-24	88.9
1991-09-25	87.7
1991-09-26	86.6
1991-09-27	85.8
1991-09-30	85.6
1991-10-01	84.5
1991-10-02	83.4
1991-10-03	83.3
1991-10-04	84.2
1991-10-07	83.4
1991-10-08	83.9
1991-10-09	84.3
1991-10-10	84.1
1991-10-11	84.1
1991-10-14	83.9
1991-10-15	84.9
1991-10-16	84.2
1991-10-17	84.1
1991-10-18	83.9
1991-10-21	84.1
1991-10-22	83.5
1991-10-23	82.8
1991-10-24	82.3
1991-10-25	81.7
1991-10-28	82.4
1991-10-29	84.8
1991-10-30	85.7
1991-10-31	84.7
1991-11-01	84.0
1991-11-04	86.9
1991-11-05	86.3
1991-11-06	85.4
1991-11-07	85.7
1991-11-08	86.3
1991-11-11	85.1
1991-11-12	84.9
1991-11-13	83.9
1991-11-14	83.1
1991-11-15	87.6
1991-11-18	91.3
1991-11-19	91.3
1991-11-20	90.3
1991-11-21	89.2
1991-11-22	89.2
1991-11-25	88.6
1991-11-26	88.5
1991-11-27	91.8
